State,Average_Temperature
North Dakota,42.4
Minnesota,42.5
Wyoming,43.9
Montana,44.6
Maine,44.9
Wisconsin,45
Idaho,45.3
Vermont,45.7
Michigan,46.7
New Hampshire,46.9
Colorado,47.9
South Dakota,47.9
New York,48.2
Washington,49
Iowa,49.9
Oregon,49.9
Utah,51.3
Pennsylvania,51.4
Massachusetts,51.8
Nebraska,52
Connecticut,52.5
Nevada,53.4
Ohio,53.5
Rhode Island,53.5
Illinois,54
Indiana,54
West Virginia,54
New Jersey,56
New Mexico,56.2
Missouri,57
Kansas,57.4
Maryland,57.5
Delaware,58
Virginia,58
Kentucky,58.1
Tennessee,60.1
California,61.7
North Carolina,61.7
Arkansas,62.8
Oklahoma,62.8
Arizona,62.9
Alabama,65.4
South Carolina,65.4
Mississippi,66.1
Georgia,66.2
Texas,68
Louisiana,68.5
Florida,73.4
